"","x"
"Gkn3",1.09523598067374
"Alpl",0.971549323519538
"Stmn2",0.927049675215061
"Hey1",0.780773516007113
"Egfl8",0.757696352385022
"Mgp",0.744462953634488
"Lypd1",0.678660914207365
"Cdk19",0.673749406058964
"Vegfc",0.664769476598472
"Tm4sf1",0.654745711775462
"Mecom",0.647420973622287
"1810011O10Rik",0.642130251262737
"Bmx",0.640393260461311
"Tmem100",0.637404168463777
"Mmrn2",0.636850374739442
"Cd9",0.627832094284746
"Eps8l2",0.617843382860321
"Plscr1",0.612096830251109
"Adamts1",0.603719623183524
"S100a11",0.584303646275431
"Cthrc1",0.578403971297995
"Rad54b",0.573988361823309
"Slc26a10",0.565800730469831
"Ccdc109b",0.56462974332765
"Timp3",0.547463659284319
"8430408G22Rik",0.534629757697003
"Pkig",0.521051684554734
"Gadd45g",0.512676856342312
"Ppap2a",0.511291387139591
"Prkcdbp",0.501139146853317
"S100a10",0.481837858139555
"Capg",0.47657360327365
"Fbln2",0.457098596437019
"Efnb2",0.456354894932051
"Glul",0.45572151341286
"Cyb5r3",0.455401779680779
"Ccnd2",0.438026950018507
"Nr4a1",0.429945257650152
"Mgst1",0.42191027690531
"Gngt2",0.42116274861894
"Prss23",0.419817509375461
"Kazald1",0.411859875147011
"Entpd1",0.409648777105618
"Ecscr",0.40775497693574
"Aif1l",0.406032150890743
"Irf7",0.404035234836281
"Igfbp3",0.400534151539868
"Ssfa2",0.396177266990716
"1110007C09Rik",0.387330347935016
"Edn3",0.386498952604624
"Cd93",0.384601683806768
"AI836003",0.384010163306175
"Tspo",0.382052567363518
"Prr13",0.379809995512707
"Rexo2",0.379454650382808
"Plec",0.376660543774552
"Pik3r3",0.376511592959537
"5430416O09Rik",0.374829412333207
"Sox17",0.372743345532643
"S100a16",0.371225854721124
"Gm106",0.367778381837694
"Msx1",0.366608991000056
"Hist1h2bc",0.365131590168655
"Oas1a",0.36291248784448
"Cdh13",0.361909265867938
"Shisa5",0.360614146778134
"Arid5a",0.359657506169486
"Kitl",0.359280348875769
"Trpv4",0.35685029207546
"Alox12",0.351099548974013
"Fxyd5",0.350514845730288
"Crispld1",0.349527133924699
"Clu",0.347293117793335
"Jag1",0.345957402570336
"Psmd7",0.345574482431699
"Fam181b",0.345474822769738
"Tgfb2",0.345466703295621
"Syt15",0.340793346970623
"Sfxn3",0.340218432416819
"Avpi1",0.336300070711689
"Myct1",0.334040518785709
"Unc5b",0.332825776509942
"Dll4",0.332410887010804
"Lmo7",0.32666203729011
"Prdx1",0.325555773267887
"Prune2",0.325031002366006
"Nudt14",0.323698710026804
"Lrrc32",0.321575403872119
"H2-Q6",0.31734069394097
"Mcfd2",0.313990574479287
"Map1lc3a",0.312731981874109
"St8sia6",0.30682604828179
"Zap70",0.305130354659912
"Usp18",0.302870482357036
"Fam198b",0.300930243579884
"Jag2",0.29850659903895
"Stub1",0.298371878157683
"Sncg",0.297687533463585
"Sept11",0.297530599360327
"Pak4",0.297337124719513
