"","x"
"Car4",1.02809021571927
"Tmsb10",0.942638437633365
"Slc16a1",0.87452649133312
"Hmcn1",0.827223775288757
"Slc7a5",0.719826072779763
"Ctla2a",0.703166718943383
"Apcdd1",0.653964113063133
"Slc38a5",0.631104045523672
"Slc22a8",0.618451094765196
"Net1",0.59941995474763
"Slc40a1",0.571364131078853
"Slc38a3",0.565366007393523
"Slc7a1",0.563423901344341
"Nrp1",0.558648358899954
"Ttyh2",0.539072252687289
"Rnase4",0.534351269889401
"Fam101b",0.523069508095671
"Mt1",0.503850619172611
"AU021092",0.485829763042083
"Kdr",0.483790693457051
"Gatm",0.483321850341018
"A930038C07Rik",0.475646529965987
"Tfrc",0.471341109795154
"Mt2",0.460432535942272
"Slc39a8",0.441242406399493
"5430407P10Rik",0.43760268881396
"Lrp8",0.434266090553356
"Igf1r",0.426079550838805
"Itga6",0.411114688267832
"Hip1",0.388813314442871
"Mxra7",0.38652132291992
"Megf6",0.383750030561879
"Kank3",0.379966071523228
"Csrp2",0.376083791066921
"Cdkn2b",0.372891155075333
"Myo1b",0.372348093018801
"Ankrd37",0.366081874085064
"Abcb1a",0.365358101344498
"Vwf",0.363397183507952
"Esyt2",0.361865654589693
"Tmem98",0.355859823173627
"Slc31a1",0.35071331665358
"Slc16a9",0.34545206464802
"Tbc1d4",0.344506681560653
"Zmiz1",0.344395639248575
"Fn1",0.339073298948227
"Scarb1",0.333251459990372
"Smagp",0.331212634499441
"Slc3a2",0.330240257246108
"Jund",0.328643114627092
"Lphn2",0.327988762337548
"Slc1a1",0.32703992853623
"Nkd1",0.326390309301886
"Pomc",0.325584333286289
"Hmgcs2",0.325226915256001
"Pglyrp1",0.324440140027964
"Slc39a10",0.324149016390455
"Slc16a4",0.32110375345694
"Ablim1",0.320644467121618
"Slco1a4",0.320008162667783
"Ctla2b",0.314158848063452
"Mfhas1",0.311166735711181
"Tiam1",0.309079472320443
"Polk",0.306653090090927
"Arl4a",0.303324829664718
"Ahnak",0.302661251104254
"Ccdc85b",0.296689236738645
"Slco2b1",0.295895490860861
"Ddc",0.295752669901559
"Synm",0.295104760330787
"Ppapdc2",0.294084947943384
"Nostrin",0.293485978298073
"Fmo2",0.293467572324806
"Nampt",0.291761940038454
"Smox",0.289416403732088
"Alad",0.285919338708196
"Cebpd",0.285857105587628
"Rgl1",0.283707257532058
"Notum",0.275817103972318
"Adamtsl2",0.274595131727556
"Srpr",0.272236007505454
"Ncoa1",0.271031806649484
"Serpinb6b",0.27030152960642
"Kbtbd11",0.2690403242647
"AW112010",0.268375822004794
"Srgap2",0.266411631531977
"Sparcl1",0.264645883910494
"Pgm5",0.264480616104135
"Rhob",0.264329144983629
"Adm",0.2642472678237
"Cxcr7",0.262228691089734
"Prickle1",0.262193127404498
"Ctsc",0.259042628559337
"Rbp1",0.255383570578098
"Ccdc141",0.254025207961604
"Stard8",0.252805424447545
"Pim3",0.249534748608178
"Rasal2",0.248101085242669
"Agfg1",0.247008035751907
"Gng5",0.246331205767034
