"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045177","GO:0045177","apical part of cell","16/185","487/28739",1.21289764665114e-07,1.87137153397731e-05,1.38965005776688e-05,"Car4/Slc16a1/Slc7a5/Slc22a8/Slc38a3/Slc7a1/Slc39a8/Myo1b/Abcb1a/Fn1/Slc3a2/Slc1a1/Slco2b1/Abcg2/Myo6/Dab2",16
"GO:0016324","GO:0016324","apical plasma membrane","14/185","369/28739",1.36099747925623e-07,1.87137153397731e-05,1.38965005776688e-05,"Car4/Slc16a1/Slc7a5/Slc22a8/Slc38a3/Slc7a1/Slc39a8/Abcb1a/Fn1/Slc3a2/Slc1a1/Slco2b1/Abcg2/Dab2",14
"GO:0009925","GO:0009925","basal plasma membrane","12/185","276/28739",2.59149714526268e-07,2.37553904982413e-05,1.76403665326653e-05,"Slc16a1/Slc7a5/Slc22a8/Slc40a1/Slc38a3/Slc7a1/Tfrc/Slc39a8/Itga6/Slc3a2/Slco1a4/Slco2b1",12
"GO:0045178","GO:0045178","basal part of cell","12/185","301/28739",6.51421445235872e-07,4.47852243599662e-05,3.32567790462524e-05,"Slc16a1/Slc7a5/Slc22a8/Slc40a1/Slc38a3/Slc7a1/Tfrc/Slc39a8/Itga6/Slc3a2/Slco1a4/Slco2b1",12
"GO:0016323","GO:0016323","basolateral plasma membrane","10/185","246/28739",4.80114213634039e-06,0.000250621671455977,0.000186107576124247,"Slc16a1/Slc7a5/Slc22a8/Slc40a1/Slc38a3/Slc7a1/Tfrc/Slc39a8/Itga6/Slc3a2",10
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","7/185","105/28739",5.46810919540312e-06,0.000250621671455977,0.000186107576124247,"Hip1/Esyt2/Tiam1/Gng5/Mcf2l/Gng11/Gnb4",7
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","12/185","396/28739",1.08956679431912e-05,0.000428044097768225,0.000317858583605878,"Hmcn1/Itga6/Megf6/Vwf/Fn1/Sparcl1/Ctsc/Ang/Sema3c/Serpinb9/Spock2/S100a13",12
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","8/185","177/28739",2.04336161825774e-05,0.00067690761725303,0.000502660584677848,"Hip1/Esyt2/Tiam1/Pgm5/Gng5/Mcf2l/Gng11/Gnb4",8
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","8/185","179/28739",2.21533402010082e-05,0.00067690761725303,0.000502660584677848,"Hip1/Esyt2/Tiam1/Gng5/Mcf2l/Gng11/Gnb4/Eno1",8
"GO:0030055","GO:0030055","cell-substrate junction","8/185","182/28739",2.49596086155392e-05,0.000686389236927329,0.000509701481201538,"Hmcn1/Nrp1/Itga6/Pgm5/Parvb/Flrt2/Pxn/Thsd1",8
"GO:0098562","GO:0098562","cytoplasmic side of membrane","8/185","195/28739",4.08098829224101e-05,0.00102024707306025,0.000757618879133738,"Hip1/Esyt2/Tiam1/Pgm5/Gng5/Mcf2l/Gng11/Gnb4",8
"GO:0030027","GO:0030027","lamellipodium","7/185","176/28739",0.000150704869561961,0.00345365326079494,0.00256462672763337,"Ablim1/Srgap2/Parvb/Mcf2l/Pxn/Arap3/Arhgap31",7
"GO:0019898","GO:0019898","extrinsic component of membrane","9/185","318/28739",0.00023282601780133,0.00463005483864254,0.00343820340170968,"Hip1/Esyt2/Tiam1/Gng5/Mcf2l/Gng11/Gnb4/Eno1/Wipi1",9
"GO:0043034","GO:0043034","costamere","3/185","19/28739",0.000235711882694529,0.00463005483864254,0.00343820340170968,"Ahnak/Synm/Pgm5",3
"GO:0005769","GO:0005769","early endosome","9/185","327/28739",0.000285834330419323,0.00524029605768759,0.00389135860360342,"Nrp1/Kdr/Tfrc/Myo1b/Slc1a1/Rhob/Bok/Arf6/Apbb2",9
"GO:0005903","GO:0005903","brush border","6/185","145/28739",0.0003638930935439,0.00624610944503642,0.00463825926253422,"Car4/Myo1b/Abcb1a/Abcg2/Add3/Myo6",6
"GO:0098862","GO:0098862","cluster of actin-based cell projections","7/185","206/28739",0.000392968280922538,0.00624610944503642,0.00463825926253422,"Car4/Myo1b/Abcb1a/Tiam1/Abcg2/Add3/Myo6",7
"GO:0055038","GO:0055038","recycling endosome membrane","4/185","54/28739",0.000408836254584202,0.00624610944503642,0.00463825926253422,"Tfrc/Slc1a1/Bok/Arf6",4
"GO:0070062","GO:0070062","extracellular exosome","5/185","104/28739",0.00057537720469253,0.00815425911245707,0.00605522016389157,"Car4/Tfrc/Tmem98/Fn1/Ahnak",5
"GO:0055037","GO:0055037","recycling endosome","6/185","159/28739",0.000593037026360514,0.00815425911245707,0.00605522016389157,"Tfrc/Slc31a1/Slc1a1/Bok/Arf6/Rassf9",6
