"","x"
"Gkn3",1.09523598067374
"Alpl",0.971549323519538
"Stmn2",0.927049675215061
"Hey1",0.780773516007113
"Egfl8",0.757696352385022
"Mgp",0.744462953634488
"Lypd1",0.678660914207365
"Cdk19",0.673749406058964
"Vegfc",0.664769476598472
"Tm4sf1",0.654745711775462
"Mecom",0.647420973622287
"1810011O10Rik",0.642130251262737
"Bmx",0.640393260461311
"Tmem100",0.637404168463777
"Mmrn2",0.636850374739442
"Cd9",0.627832094284746
"Eps8l2",0.617843382860321
"Plscr1",0.612096830251109
"Adamts1",0.603719623183524
"S100a11",0.584303646275431
"Cthrc1",0.578403971297995
"Rad54b",0.573988361823309
"Slc26a10",0.565800730469831
"Ccdc109b",0.56462974332765
"Timp3",0.547463659284319
"8430408G22Rik",0.534629757697003
"Pkig",0.521051684554734
"Gadd45g",0.512676856342312
"Ppap2a",0.511291387139591
"Prkcdbp",0.501139146853317
"S100a10",0.481837858139555
"Capg",0.47657360327365
"Fbln2",0.457098596437019
"Efnb2",0.456354894932051
"Glul",0.45572151341286
"Cyb5r3",0.455401779680779
"Ccnd2",0.438026950018507
"Nr4a1",0.429945257650152
"Mgst1",0.42191027690531
"Gngt2",0.42116274861894
"Prss23",0.419817509375461
"Kazald1",0.411859875147011
"Entpd1",0.409648777105618
"Ecscr",0.40775497693574
"Aif1l",0.406032150890743
"Irf7",0.404035234836281
"Igfbp3",0.400534151539868
"Ssfa2",0.396177266990716
"1110007C09Rik",0.387330347935016
"Edn3",0.386498952604624
"Cd93",0.384601683806768
"AI836003",0.384010163306175
"Tspo",0.382052567363518
"Prr13",0.379809995512707
"Rexo2",0.379454650382808
"Plec",0.376660543774552
"Pik3r3",0.376511592959537
"5430416O09Rik",0.374829412333207
"Sox17",0.372743345532643
"S100a16",0.371225854721124
"Gm106",0.367778381837694
"Msx1",0.366608991000056
"Hist1h2bc",0.365131590168655
"Oas1a",0.36291248784448
"Cdh13",0.361909265867938
"Shisa5",0.360614146778134
"Arid5a",0.359657506169486
"Kitl",0.359280348875769
"Trpv4",0.35685029207546
"Alox12",0.351099548974013
"Fxyd5",0.350514845730288
"Crispld1",0.349527133924699
"Clu",0.347293117793335
"Jag1",0.345957402570336
"Psmd7",0.345574482431699
"Fam181b",0.345474822769738
"Tgfb2",0.345466703295621
"Syt15",0.340793346970623
"Sfxn3",0.340218432416819
"Avpi1",0.336300070711689
"Myct1",0.334040518785709
"Unc5b",0.332825776509942
"Dll4",0.332410887010804
"Lmo7",0.32666203729011
"Prdx1",0.325555773267887
"Prune2",0.325031002366006
"Nudt14",0.323698710026804
"Lrrc32",0.321575403872119
"H2-Q6",0.31734069394097
"Mcfd2",0.313990574479287
"Map1lc3a",0.312731981874109
"St8sia6",0.30682604828179
"Zap70",0.305130354659912
"Usp18",0.302870482357036
"Fam198b",0.300930243579884
"Jag2",0.29850659903895
"Stub1",0.298371878157683
"Sncg",0.297687533463585
"Sept11",0.297530599360327
"Pak4",0.297337124719513
"Stom",0.294512857239652
"A4galt",0.294013803082947
"Tapbp",0.290863365995583
"Ephx1",0.290821605739208
"Fes",0.290540659499918
"Unc119b",0.290359069068247
"Rapgef2",0.289605458664477
"Prelid1",0.288430619703734
"Hbegf",0.286793322192659
"Plscr2",0.284626954059617
"Arhgef25",0.284261034554679
"Gja4",0.283523457855439
"Ifit1",0.280844879294535
"Lgals3bp",0.279600685242207
"Pdgfa",0.27951330447295
"Tmem14c",0.277855050264145
"Icam2",0.277785808607826
"Atp2a3",0.277629345737193
"Oasl2",0.277324648312561
"Gata2",0.276584824160764
"Asb8",0.276142718863419
"Gpr30",0.275390698581495
"Tpd52l1",0.271102837177546
"Uaca",0.270994987175235
"Polr2c",0.270966104787561
"Atp13a3",0.270130674055702
"Anxa2",0.269398075914256
"Sqstm1",0.269234276007726
"Traf5",0.268843539135722
"Plk2",0.268623501433641
"Sox18",0.268275858622545
"Anxa7",0.267731481861712
"Lrrc8c",0.267372046173179
"Akap8",0.266394194647703
"P2ry2",0.266213912253454
"1700040I03Rik",0.265618979180129
"Pdlim7",0.265489359595043
"Ninj1",0.264638406941428
"Rfk",0.264629169216672
"Ddx41",0.26439325985288
"Ssbp1",0.264224877802727
"Ucp2",0.263475963501458
"Prdx4",0.262823187815661
"Col14a1",0.26138630698132
"Nmi",0.260710070238016
"Arhgap10",0.257720844471467
"Taf9",0.256754003250982
"Pdgfd",0.256382516034995
"Smad6",0.254442202564833
"Azin1",0.253755506026291
"Ndufa10",0.253388248298954
"Runx1t1",0.252595208867092
"Gimap5",0.252358322408312
"Crem",0.252348320485666
"Anxa5",0.25199896003808
"Gcnt2",0.251908050450985
"Apol9b",0.251820592538106
"Hrct1",0.25144986515187
"Cxx1a",0.250863859040783
"Trp53inp2",0.25010363745877
"Pla2g4a",0.249702635743462
"Mlec",0.249385509014762
"Cyb561",0.24898813760231
"Cdkn1c",0.248530609506455
"I830012O16Rik",0.24844834934299
"0610009D07Rik",0.248387772327714
"Psmc4",0.248347688799549
"4930523C07Rik",0.247678054904401
"Ifitm3",0.247170150976129
"Tgtp2",0.246099606115404
"Fam103a1",0.24574969808554
"Fosl2",0.24495381115175
"Psmb5",0.244411447157828
"Tm9sf4",0.243899818928265
"Kcnj2",0.243246073236199
"Abi3",0.242949783065554
"Emp1",0.242425265647501
"Oas2",0.242240989787523
"Srsf7",0.242160907339563
"Ppic",0.241464992440429
"Adss",0.240710970564018
"Nrarp",0.240158696030573
"Sigirr",0.240090467125196
"Arpc1b",0.239850343914679
"Arpc2",0.239808278008011
"Spcs1",0.239520207722632
"Pcif1",0.239275120113583
"Wwtr1",0.239178864183093
"Ssr4",0.239177275127133
"Slc9a3r2",0.238780021063573
"Asb4",0.238507156871107
"Egr1",0.238444131627414
"Nedd9",0.237905236088493
"Papss1",0.236634981524557
"Psmb9",0.236372226268492
"Adipor2",0.234648735856269
"Eif5a",0.234458346413461
"Bnip3",0.233783171907493
"Mob4",0.233627031604072
"Med27",0.233557348113132
