"","x"
"Car4",1.02809021571927
"Tmsb10",0.942638437633365
"Slc16a1",0.87452649133312
"Hmcn1",0.827223775288757
"Slc7a5",0.719826072779763
"Ctla2a",0.703166718943383
"Apcdd1",0.653964113063133
"Slc38a5",0.631104045523672
"Slc22a8",0.618451094765196
"Net1",0.59941995474763
"Slc40a1",0.571364131078853
"Slc38a3",0.565366007393523
"Slc7a1",0.563423901344341
"Nrp1",0.558648358899954
"Ttyh2",0.539072252687289
"Rnase4",0.534351269889401
"Fam101b",0.523069508095671
"Mt1",0.503850619172611
"AU021092",0.485829763042083
"Kdr",0.483790693457051
"Gatm",0.483321850341018
"A930038C07Rik",0.475646529965987
"Tfrc",0.471341109795154
"Mt2",0.460432535942272
"Slc39a8",0.441242406399493
"5430407P10Rik",0.43760268881396
"Lrp8",0.434266090553356
"Igf1r",0.426079550838805
"Itga6",0.411114688267832
"Hip1",0.388813314442871
"Mxra7",0.38652132291992
"Megf6",0.383750030561879
"Kank3",0.379966071523228
"Csrp2",0.376083791066921
"Cdkn2b",0.372891155075333
"Myo1b",0.372348093018801
"Ankrd37",0.366081874085064
"Abcb1a",0.365358101344498
"Vwf",0.363397183507952
"Esyt2",0.361865654589693
"Tmem98",0.355859823173627
"Slc31a1",0.35071331665358
"Slc16a9",0.34545206464802
"Tbc1d4",0.344506681560653
"Zmiz1",0.344395639248575
"Fn1",0.339073298948227
"Scarb1",0.333251459990372
"Smagp",0.331212634499441
"Slc3a2",0.330240257246108
"Jund",0.328643114627092
