"","x"
"Gkn3",1.09523598067374
"Alpl",0.971549323519538
"Stmn2",0.927049675215061
"Hey1",0.780773516007113
"Egfl8",0.757696352385022
"Mgp",0.744462953634488
"Lypd1",0.678660914207365
"Cdk19",0.673749406058964
"Vegfc",0.664769476598472
"Tm4sf1",0.654745711775462
"Mecom",0.647420973622287
"1810011O10Rik",0.642130251262737
"Bmx",0.640393260461311
"Tmem100",0.637404168463777
"Mmrn2",0.636850374739442
"Cd9",0.627832094284746
"Eps8l2",0.617843382860321
"Plscr1",0.612096830251109
"Adamts1",0.603719623183524
"S100a11",0.584303646275431
"Cthrc1",0.578403971297995
"Rad54b",0.573988361823309
"Slc26a10",0.565800730469831
"Ccdc109b",0.56462974332765
"Timp3",0.547463659284319
"8430408G22Rik",0.534629757697003
"Pkig",0.521051684554734
"Gadd45g",0.512676856342312
"Ppap2a",0.511291387139591
"Prkcdbp",0.501139146853317
"S100a10",0.481837858139555
"Capg",0.47657360327365
"Fbln2",0.457098596437019
"Efnb2",0.456354894932051
"Glul",0.45572151341286
"Cyb5r3",0.455401779680779
"Ccnd2",0.438026950018507
"Nr4a1",0.429945257650152
"Mgst1",0.42191027690531
"Gngt2",0.42116274861894
"Prss23",0.419817509375461
"Kazald1",0.411859875147011
"Entpd1",0.409648777105618
"Ecscr",0.40775497693574
"Aif1l",0.406032150890743
"Irf7",0.404035234836281
"Igfbp3",0.400534151539868
"Ssfa2",0.396177266990716
"1110007C09Rik",0.387330347935016
"Edn3",0.386498952604624
