"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016323","GO:0016323","basolateral plasma membrane","8/47","246/28739",6.06350160906194e-09,6.54858173778689e-07,4.72314862179561e-07,"Slc22a8/Slc16a1/Slc38a3/Slc3a2/Slc7a5/Slc40a1/Tfrc/Slc7a1",8
"GO:0009925","GO:0009925","basal plasma membrane","8/47","276/28739",1.48662431320392e-08,8.02777129130117e-07,5.79001048300474e-07,"Slc22a8/Slc16a1/Slc38a3/Slc3a2/Slc7a5/Slc40a1/Tfrc/Slc7a1",8
"GO:0045178","GO:0045178","basal part of cell","8/47","301/28739",2.91084234129713e-08,1.04790324286697e-06,7.55797660547326e-07,"Slc22a8/Slc16a1/Slc38a3/Slc3a2/Slc7a5/Slc40a1/Tfrc/Slc7a1",8
"GO:0016324","GO:0016324","apical plasma membrane","8/47","369/28739",1.39129799452532e-07,3.75650458521836e-06,2.70936977881246e-06,"Car4/Slc22a8/Slc16a1/Slc38a3/Slc3a2/Slc7a5/Slc1a1/Slc7a1",8
"GO:0045177","GO:0045177","apical part of cell","8/47","487/28739",1.1304468280186e-06,2.44176514852018e-05,1.76111716365003e-05,"Car4/Slc22a8/Slc16a1/Slc38a3/Slc3a2/Slc7a5/Slc1a1/Slc7a1",8
"GO:0043230","GO:0043230","extracellular organelle","4/47","125/28739",5.26314128633667e-05,0.000812027512749086,0.000585672864945734,"Car4/Alpl/Tfrc/Tmem98",4
"GO:0065010","GO:0065010","extracellular membrane-bounded organelle","4/47","125/28739",5.26314128633667e-05,0.000812027512749086,0.000585672864945734,"Car4/Alpl/Tfrc/Tmem98",4
"GO:0055038","GO:0055038","recycling endosome membrane","3/47","54/28739",9.58962132821294e-05,0.00129459887930875,0.000933726287220734,"Slc1a1/Tfrc/Bok",3
"GO:0070062","GO:0070062","extracellular exosome","3/47","104/28739",0.000664878260363333,0.00797853912436,0.00575450190255984,"Car4/Tfrc/Tmem98",3
"GO:1903561","GO:1903561","extracellular vesicle","3/47","116/28739",0.000912800592406604,0.00985824639799133,0.00711023619348302,"Car4/Tfrc/Tmem98",3
