"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016323","GO:0016323","basolateral plasma membrane","10/47","246/28739",6.89625046728558e-12,7.37898799999557e-10,4.79107927200893e-10,"Slc16a1/Slc7a5/Slc22a8/Slc40a1/Slc38a3/Slc7a1/Tfrc/Slc39a8/Itga6/Slc3a2",10
"GO:0009925","GO:0009925","basal plasma membrane","10/47","276/28739",2.14712245549179e-11,1.14871051368811e-09,7.45842537170832e-10,"Slc16a1/Slc7a5/Slc22a8/Slc40a1/Slc38a3/Slc7a1/Tfrc/Slc39a8/Itga6/Slc3a2",10
"GO:0045178","GO:0045178","basal part of cell","10/47","301/28739",5.03092264649507e-11,1.79436241058324e-09,1.16505577076728e-09,"Slc16a1/Slc7a5/Slc22a8/Slc40a1/Slc38a3/Slc7a1/Tfrc/Slc39a8/Itga6/Slc3a2",10
"GO:0045177","GO:0045177","apical part of cell","11/47","487/28739",2.97220318727846e-10,7.83458012305717e-09,5.08688920926486e-09,"Car4/Slc16a1/Slc7a5/Slc22a8/Slc38a3/Slc7a1/Slc39a8/Myo1b/Abcb1a/Fn1/Slc3a2",11
"GO:0016324","GO:0016324","apical plasma membrane","10/47","369/28739",3.66101874909213e-10,7.83458012305717e-09,5.08688920926486e-09,"Car4/Slc16a1/Slc7a5/Slc22a8/Slc38a3/Slc7a1/Slc39a8/Abcb1a/Fn1/Slc3a2",10
"GO:0070062","GO:0070062","extracellular exosome","4/47","104/28739",2.56058272335329e-05,0.000456637252331336,0.00029648852586196,"Car4/Tfrc/Tmem98/Fn1",4
"GO:1903561","GO:1903561","extracellular vesicle","4/47","116/28739",3.93058842679282e-05,0.000600818516666902,0.000390103513035076,"Car4/Tfrc/Tmem98/Fn1",4
"GO:0043230","GO:0043230","extracellular organelle","4/47","125/28739",5.26314128633667e-05,0.000625729019597804,0.000406277572980374,"Car4/Tfrc/Tmem98/Fn1",4
"GO:0065010","GO:0065010","extracellular membrane-bounded organelle","4/47","125/28739",5.26314128633667e-05,0.000625729019597804,0.000406277572980374,"Car4/Tfrc/Tmem98/Fn1",4
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","5/47","396/28739",0.000461712346877847,0.00494032211159296,0.00320768577830925,"Hmcn1/Itga6/Megf6/Vwf/Fn1",5
"GO:0005901","GO:0005901","caveola","3/47","96/28739",0.000526461883064286,0.00512103831707987,0.00332502241935338,"Lrp8/Igf1r/Scarb1",3
"GO:0043235","GO:0043235","receptor complex","5/47","423/28739",0.000622378775411726,0.00522505074809832,0.00339255631455473,"Kdr/Tfrc/Lrp8/Igf1r/Itga6",5
"GO:0031528","GO:0031528","microvillus membrane","2/47","23/28739",0.000647935857955271,0.00522505074809832,0.00339255631455473,"Slc7a5/Scarb1",2
"GO:0005902","GO:0005902","microvillus","3/47","105/28739",0.000683651499751181,0.00522505074809832,0.00339255631455473,"Slc7a5/Myo1b/Scarb1",3
"GO:0005604","GO:0005604","basement membrane","3/47","119/28739",0.000982746725594422,0.00701025997590688,0.00455166904485838,"Hmcn1/Itga6/Fn1",3
"GO:0044853","GO:0044853","plasma membrane raft","3/47","136/28739",0.00144335811052857,0.00965245736415979,0.00626721284834773,"Lrp8/Igf1r/Scarb1",3
