"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","8/46","168/28275",2.82835602681713e-10,2.56501766181757e-08,1.27977759822964e-08,"Slc16a1/Slc7a5/Slc38a5/Slc38a3/Slc7a1/Abcb1a/Slc16a9/Slc3a2",8
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","8/46","169/28275",2.96533833736135e-10,2.56501766181757e-08,1.27977759822964e-08,"Slc16a1/Slc7a5/Slc38a5/Slc38a3/Slc7a1/Abcb1a/Slc16a9/Slc3a2",8
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","8/46","185/28275",6.08734397507722e-10,3.5103683589612e-08,1.75144633668888e-08,"Slc16a1/Slc7a5/Slc38a5/Slc22a8/Slc38a3/Slc7a1/Slc39a8/Slc3a2",8
"GO:0008509","GO:0008509","anion transmembrane transporter activity","9/46","313/28275",1.71153817675761e-09,7.40240261447668e-08,3.69331922352959e-08,"Slc16a1/Slc7a5/Slc38a5/Slc22a8/Slc38a3/Slc7a1/Ttyh2/Slc39a8/Slc3a2",9
"GO:0015179","GO:0015179","L-amino acid transmembrane transporter activity","5/46","62/28275",5.49946278510034e-08,1.90281412364472e-06,9.49380943954163e-07,"Slc7a5/Slc38a5/Slc38a3/Slc7a1/Slc3a2",5
"GO:0015171","GO:0015171","amino acid transmembrane transporter activity","5/46","85/28275",2.71123354103366e-07,7.81739004331372e-06,3.90037105903088e-06,"Slc7a5/Slc38a5/Slc38a3/Slc7a1/Slc3a2",5
"GO:0046915","GO:0046915","transition metal ion transmembrane transporter activity","4/46","37/28275",3.89202242850297e-07,9.61885543044304e-06,4.79918555093599e-06,"Slc40a1/Tfrc/Slc39a8/Slc31a1",4
"GO:1901474","GO:1901474","azole transmembrane transporter activity","3/46","10/28275",4.79703862176323e-07,1.0373596019563e-05,5.17575219716559e-06,"Slc38a5/Slc38a3/Slc7a1",3
"GO:0015175","GO:0015175","neutral amino acid transmembrane transporter activity","4/46","41/28275",5.93952613017372e-07,1.14170891168895e-05,5.6963876336169e-06,"Slc7a5/Slc38a5/Slc38a3/Slc3a2",4
"GO:0022858","GO:0022858","alanine transmembrane transporter activity","3/46","12/28275",8.77452544143139e-07,1.51799290136763e-05,7.57380090734078e-06,"Slc38a5/Slc38a3/Slc3a2",3
"GO:0015174","GO:0015174","basic amino acid transmembrane transporter activity","3/46","15/28275",1.80853123478924e-06,2.84432639653217e-05,1.41913455744228e-05,"Slc38a5/Slc38a3/Slc7a1",3
"GO:0015291","GO:0015291","secondary active transmembrane transporter activity","6/46","242/28275",2.59846529488907e-06,3.74612080013174e-05,1.86907152790266e-05,"Slc16a1/Slc7a5/Slc22a8/Slc38a3/Slc39a8/Slc16a9",6
"GO:0022804","GO:0022804","active transmembrane transporter activity","7/46","396/28275",3.3515205294089e-06,4.46010039682876e-05,2.2253010802553e-05,"Slc16a1/Slc7a5/Slc22a8/Slc38a3/Slc39a8/Abcb1a/Slc16a9",7
"GO:0015293","GO:0015293","symporter activity","4/46","143/28275",8.67858187555143e-05,0.001072424760336,0.000535070461500164,"Slc16a1/Slc38a3/Slc39a8/Slc16a9",4
"GO:0019838","GO:0019838","growth factor binding","4/46","153/28275",0.000112702023393788,0.00120582282384365,0.000601627450898566,"Nrp1/Kdr/Igf1r/Itga6",4
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","3/46","58/28275",0.000116781446946446,0.00120582282384365,0.000601627450898566,"Nrp1/Kdr/Igf1r",3
"GO:0005178","GO:0005178","integrin binding","4/46","155/28275",0.000118491260146486,0.00120582282384365,0.000601627450898566,"Kdr/Itga6/Vwf/Fn1",4
"GO:0031994","GO:0031994","insulin-like growth factor I binding","2/46","13/28275",0.000199672691452176,0.00191907642340147,0.000957494777723886,"Igf1r/Itga6",2
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","3/46","76/28275",0.000260672287906438,0.00237348977935862,0.00118421759602925,"Nrp1/Kdr/Igf1r",3
"GO:0038024","GO:0038024","cargo receptor activity","3/46","78/28275",0.000281448801361267,0.00243453213177496,0.00121467377429599,"Tfrc/Lrp8/Scarb1",3
"GO:0030228","GO:0030228","lipoprotein particle receptor activity","2/46","16/28275",0.000306234805107577,0.00252279148969575,0.00125870947462764,"Lrp8/Scarb1",2
"GO:0034185","GO:0034185","apolipoprotein binding","2/46","20/28275",0.000482865901316443,0.00379708186035203,0.00189449779463868,"Lrp8/Scarb1",2
"GO:0051087","GO:0051087","chaperone binding","3/46","109/28275",0.000749784197147365,0.00563968113506496,0.00281383543094205,"Tfrc/Vwf/Fn1",3
"GO:0005520","GO:0005520","insulin-like growth factor binding","2/46","29/28275",0.00102223534577107,0.00736861311743314,0.00367646045408894,"Igf1r/Itga6",2
"GO:0004713","GO:0004713","protein tyrosine kinase activity","3/46","128/28275",0.00119322435001151,0.00825711250207966,0.00411976407161869,"Nrp1/Kdr/Igf1r",3
"GO:0042887","GO:0042887","amide transmembrane transporter activity","2/46","33/28275",0.00132391731015914,0.00880914210221275,0.00439519107016395,"Slc38a5/Slc38a3",2
"GO:0050839","GO:0050839","cell adhesion molecule binding","4/46","307/28275",0.00155319703027531,0.00995196615694919,0.00496538621764426,"Kdr/Itga6/Vwf/Fn1",4
