"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","8/44","168/28275",1.94055110994821e-10,1.46495778971906e-08,8.35282950278414e-09,"Slc16a1/Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc16a4/Slc7a1",8
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","8/44","169/28275",2.03466359683203e-10,1.46495778971906e-08,8.35282950278414e-09,"Slc16a1/Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc16a4/Slc7a1",8
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","8/44","185/28275",4.18103559268803e-10,2.00689708449025e-08,1.14428342536725e-08,"Slc22a8/Slc16a1/Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc7a1",8
"GO:0015179","GO:0015179","L-amino acid transmembrane transporter activity","6/44","62/28275",5.73515792632773e-10,2.06465685347798e-08,1.17721662698306e-08,"Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc7a1",6
"GO:0008509","GO:0008509","anion transmembrane transporter activity","9/44","313/28275",1.12291787896651e-09,3.23400349142356e-08,1.84394935914501e-08,"Slc22a8/Slc16a1/Slc38a3/Slc3a2/Slc38a5/Slc7a5/Ttyh2/Slc1a1/Slc7a1",9
"GO:0015171","GO:0015171","amino acid transmembrane transporter activity","6/44","85/28275",3.97339823933217e-09,9.53615577439722e-08,5.43728180119139e-08,"Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc7a1",6
"GO:0015175","GO:0015175","neutral amino acid transmembrane transporter activity","5/44","41/28275",5.18661320456049e-09,1.06696043065244e-07,6.08354631512358e-08,"Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1",5
"GO:1901474","GO:1901474","azole transmembrane transporter activity","3/44","10/28275",4.18679821747294e-07,7.53623679145128e-06,4.29697711793275e-06,"Slc38a3/Slc38a5/Slc7a1",3
"GO:0022858","GO:0022858","alanine transmembrane transporter activity","3/44","12/28275",7.65911422634956e-07,1.22545827621593e-05,6.98726210123118e-06,"Slc38a3/Slc3a2/Slc38a5",3
"GO:0015174","GO:0015174","basic amino acid transmembrane transporter activity","3/44","15/28275",1.57888333943572e-06,2.27359200878743e-05,1.29634632079985e-05,"Slc38a3/Slc38a5/Slc7a1",3
"GO:0015291","GO:0015291","secondary active transmembrane transporter activity","6/44","242/28275",1.98645693668282e-06,2.60045271711205e-05,1.4827142685288e-05,"Slc22a8/Slc16a1/Slc38a3/Slc7a5/Slc1a1/Slc16a4",6
"GO:0022804","GO:0022804","active transmembrane transporter activity","6/44","396/28275",3.27124669359517e-05,0.000392549603231421,0.000223822142193354,"Slc22a8/Slc16a1/Slc38a3/Slc7a5/Slc1a1/Slc16a4",6
"GO:0015293","GO:0015293","symporter activity","4/44","143/28275",7.27638318290041e-05,0.000805999367952046,0.000459561043130552,"Slc16a1/Slc38a3/Slc1a1/Slc16a4",4
