"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Rnaset2b",5.11878288927841,4.07018995830773,1.68787740885031,2.41142510526289,0.0158903150782481,0.992988417583847
"2","Chmp2a",5.63673075446515,3.98787446592724,1.65742326493863,2.40606883605854,0.0161252259965316,0.992988417583847
"3","Pdgfb",4.44007013579548,3.87768917321022,1.73030670953708,2.24104151699652,0.0250233858598442,0.992988417583847
"4","Nme2",4.58268091090212,3.7824301273715,1.77502749102928,2.13091354724776,0.0330962651070692,0.992988417583847
"5","Ndufa7",4.63400316761004,3.74132925826113,1.73955538510632,2.15073879813977,0.0314968221813351,0.992988417583847
"6","Dynlrb1",3.86566705922938,3.67027956450509,1.81904032814572,2.01770104143126,0.0436224063126922,0.992988417583847
"7","1110003E01Rik",3.98282012054858,3.56804141384258,1.79790810756147,1.98455160129511,0.0471943816281638,0.992988417583847
"8","Ptprr",4.32383085088106,3.50302636973055,1.76402866814733,1.98581034026482,0.0470543871781254,0.992988417583847
