"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030662","GO:0030662","coated vesicle membrane","3/45","84/28739",0.000312804115626858,0.026858953716574,0.0159603290336178,"Pdcd6/Kdelr1/Furin",3
"GO:0005689","GO:0005689","U12-type spliceosomal complex","2/45","27/28739",0.000820768732066702,0.026858953716574,0.0159603290336178,"Zmat5/Snrpg",2
"GO:0000139","GO:0000139","Golgi membrane","4/45","274/28739",0.000885659380006207,0.026858953716574,0.0159603290336178,"Cyp2e1/H2-Q6/Kdelr1/Furin",4
"GO:0005721","GO:0005721","pericentric heterochromatin","2/45","31/28739",0.00108302232728121,0.026858953716574,0.0159603290336178,"Cenpb/Chrac1",2
"GO:0071007","GO:0071007","U2-type catalytic step 2 spliceosome","2/45","31/28739",0.00108302232728121,0.026858953716574,0.0159603290336178,"Snrpg/Ppie",2
"GO:0030660","GO:0030660","Golgi-associated vesicle membrane","2/45","40/28739",0.00180049047097548,0.03721013640016,0.0221112864856638,"Kdelr1/Furin",2
