"","arteriovenous_group","ECM-Reorganizing BEC","Migrating-Angiogenic BEC","Transporting BEC"
"1","aEC1_genes",3,9,2
"2","capEC_genes",5,3,6
"3","vcapEC_genes",5,3,43
"4","aEC2_genes",NA,2,NA
"5","avEC_genes",NA,1,3
"6","vEC_genes",NA,NA,3
